ALLIANCEBERNSTEIN L.P.
"ALPINE WOODS CAPITAL INVESTORS, LLC"
AQUILINE CAPITAL PARTNERS LLC
ARGENT CAPITAL MANAGEMENT LLC
BANC FUNDS CO LLC
"BASSWOOD PARTNERS, L.L.C."
"CAPITAL Z PARTNERS MANAGEMENT, LLC"
"CASTINE CAPITAL MANAGEMENT, LLC"
"CASTLE CREEK ARBITRAGE, LLC"
"CASTLE CREEK CAPITAL PARTNERS IV, LP"
CASTLE RIDGE INVESTMENT MANAGEMENT LP
"CHARTWELL INVESTMENT PARTNERS, LLC"
CINCINNATI FINANCIAL CORP
CLINTON GROUP INC
"CONSECTOR CAPITAL, LP"
"CONTEXT CAPITAL MANAGEMENT, LLC"
DEPRINCE RACE & ZOLLO INC
EIDELMAN VIRANT CAPITAL
EJF CAPITAL LLC
"ELIZABETH PARK CAPITAL ADVISORS, LTD."
EMERALD ADVISERS INC/PA
ENDEAVOUR CAPITAL ADVISORS INC
ENDICOTT MANAGEMENT CO
FIRST MANHATTAN CO
FJ CAPITAL MANAGEMENT LLC
FORTRESS INVESTMENT GROUP LLC
FRANKLIN RESOURCES INC
GREENLEAF TRUST
GRT CAPITAL PARTNERS L.L.C.
GUGGENHEIM CAPITAL LLC
HENNESSY FUNDS INC
"HUTCHIN HILL CAPITAL, LP"
"JACOBS ASSET MANAGEMENT, LLC"
"JCSD CAPITAL, LLC"
"KENNEDY CAPITAL MANAGEMENT, INC."
"M3F, INC."
MALTESE CAPITAL MANAGEMENT LLC
"MANUFACTURERS LIFE INSURANCE COMPANY, THE"
MENDON CAPITAL ADVISORS CORP
MINERVA ADVISORS LLC
MONTGOMERY INVESTMENT MANAGEMENT INC
"PATRIOT FINANCIAL PARTNERS GP, LP"
"PINE BROOK ROAD ADVISORS, LP"
"PL CAPITAL ADVISORS, LLC"
PRICE MICHAEL F
PRICE T ROWE ASSOCIATES INC /MD/
"PROSPECT CAPITAL ADVISORS, LLC"
"PROSPECTOR PARTNERS FUND, L.P."
PUTNAM INVESTMENTS LLC
"RMB CAPITAL MANAGEMENT, LLC"
ROBECO INSTITUTIONAL ASSET MANAGEMENT B.V.
ROBECOSAM AG
"ROBECOSAM USA, INC."
SCHALLER INVESTMENT GROUP INC
SCHNEIDER CAPITAL MANAGEMENT CORP
"SEGALL BRYANT & HAMILL, LLC"
SEIDMAN LAWRENCE B
SHEETS SMITH WEALTH MANAGEMENT
"SIGNATURE FINANCIAL MANAGEMENT, INC."
"STIEVEN CAPITAL ADVISORS, L.P."
STILWELL VALUE LLC
STONE POINT CAPITAL LLC
TIFF ADVISORY SERVICES INC
"TRICADIA CAPITAL MANAGEMENT, LLC"
ULYSSES MANAGEMENT LLC
WELLINGTON MANAGEMENT GROUP LLP
WILBANKS SMITH & THOMAS ASSET MANAGEMENT LLC
